CreationDate,EndOutcome,Flowers_Seeds_PodsMothPlant,HeightMetresMothPlant,Area_m2MothPlant,OldestGrowthStageMothPlant,Flowers_Seeds_PodsGinger,Height_metresGinger,Area_m2Ginger,OldestGrowthStageGinger,Flowers_Seeds_PodsClimbingAsparagus,HeightMetresClimbingAsparagus,Area_m2ClimbingAsparagus,OldestGrowthStageClimbingAsparagus,Flowers_Seeds_PodsBushyAsparagus,HeightMetresBushyAsparagus,Area_m2BushyAsparagus,Flowers_Seeds_PodsWoolly,HeightMetresWoolly,Area_m2Woolly,OldestGrowthStageWoolly,Flowers_Seeds_PodsRhamnus,HeightMetresRhamnus,Area_m2Rhamnus,OldestGrowthStageRhamnus,Flowers_Seeds_PodsCoastalBanksia,HeightMetresCoastalBanksia,Area_m2CoastalBanksia,OldestGrowthStageCoastalBanksia,Flowers_Seeds_PodsJasmine,HeightMetresJasmine,Area_m2Jasmine,OldestGrowthStageJasmine,Flowers_Seeds_PodsBlueMorningGlory,HeightMetresBlueMorningGlory,Area_m2BlueMorningGlory,OldestGrowthStageBlueMorningGlory,Flowers_Seeds_PodsEnglishIvy,HeightMetresEnglishIvy,Area_m2EnglishIvy,OldestGrowthStageEnglishIvy,Flowers_Seeds_PodsPeriwinkle,HeightMetresPeriwinkle,Area_m2Periwinkle,Flowers_Seeds_PodsMadeiraVine,HeightMetresMadeiraVine,Area_m2MadeiraVine,OldestGrowthStageMadeiraVine,Flowers_Seeds_PodsHoneysuckle,HeightMetresHoneysuckle,Area_m2Honeysuckle,OldestGrowthStageHoneysuckle,x,y
13/04/2022 0:33,SQ,,,,,5-Pods or Fruit forming,1.5,2,Adult,5-Pods or Fruit forming,1.8,50,Adult,,,,1-Too soon to tell,2,3,Juvenile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.7178837,-36.80304014
13/04/2022 0:54,SQ,,,,,4-NoSignOfFlowering,1.5,2,Juvenile,1-Too soon to tell,1.2,10,Juvenile,,,,4-NoSignOfFlowering,0.1,1,Seedling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.7181841,-36.80312706
13/04/2022 1:12,SQ,,,,,4-NoSignOfFlowering,0.5,0.2,Seedling,,,,,,,,,,,,,,,,,,,,,,,,,,,,4-NoSignOfFlowering,0.1,1,Seedling,,,,,,,,,,,,174.719026,-36.80363803
13/04/2022 1:16,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4-NoSignOfFlowering,0.3,1,Seedling,,,,,,,,,,,,174.7189304,-36.8034703
13/04/2022 1:32,SQ,,,,,5-Pods or Fruit forming,2,10,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.7184947,-36.80377999
13/04/2022 1:44,SQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,4-NoSignOfFlowering,0.3,1,Seedling,,,,,4-NoSignOfFlowering,1,1,Juvenile,,,,,,,,,,,,174.7188298,-36.80347579
13/04/2022 1:51,Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.7187999,-36.80317392
13/04/2022 22:17,S,,,,,3-Flowers visible,2,1,Adult,4-NoSignOfFlowering,1,1,Juvenile,,,,,,,,,,,,,,,,4-NoSignOfFlowering,4,1,Adult,,,,,4-NoSignOfFlowering,2,5,Adult,,,,,,,,,,,,174.7202809,-36.80219378
13/04/2022 22:33,Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.7209618,-36.80282305
13/04/2022 22:41,NV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.720479,-36.80251615
