Species,naïve,donnelly,cdf,Dispersal mode
A.sericifera,0.5167656,0.5050474,0.502529,wind
H.gardnerianum,0.526086,0.5125658,0.5116589,bird
A.scandens,0.5205738,0.5073153,0.5143008,bird
A.densiflorous,0.4742022,0.4556657,0.458613,bird
S.mauritianum,0.5223574,0.5081484,0.5061669,bird
B.integrifolia,1.7028284,1.3178899,0.9031169,wind
J.polyanthum,0.394744,0.3799397,0.1198973,vegetative
I.tricolor,0.4741213,0.4480465,0.4462528,vegetative
H.helix,0.4910577,0.4796183,0.4801805,bird
V.major,4.718251,3.080515,NaN,vegetative
A.cordifolia,0.7163694,0.6629465,0.50009665,vegetative
L.japonica,0.5039858,0.4800423,0.4872475,bird
