ID,CreationDate,EndOutcome,y_xy,DistanceSEA,Flowers_Seeds_PodsMothPlant,HeightMetresMothPlant,Area_m2MothPlant,OldestGrowthStageMothPlant,Flowers_Seeds_PodsGinger,Height_metresGinger,Area_m2Ginger,OldestGrowthStageGinger,Flowers_Seeds_PodsClimbingAsparagus,HeightMetresClimbingAsparagus,Area_m2ClimbingAsparagus,OldestGrowthStageClimbingAsparagus,Flowers_Seeds_PodsBushyAsparagus,HeightMetresBushyAsparagus,Area_m2BushyAsparagus,Flowers_Seeds_PodsWoolly,HeightMetresWoolly,Area_m2Woolly,OldestGrowthStageWoolly,Flowers_Seeds_PodsRhamnus,HeightMetresRhamnus,Area_m2Rhamnus,OldestGrowthStageRhamnus,Flowers_Seeds_PodsCoastalBanksia,HeightMetresCoastalBanksia,Area_m2CoastalBanksia,OldestGrowthStageCoastalBanksia,Flowers_Seeds_PodsJasmine,HeightMetresJasmine,Area_m2Jasmine,OldestGrowthStageJasmine,Flowers_Seeds_PodsBlueMorningGlory,HeightMetresBlueMorningGlory,Area_m2BlueMorningGlory,OldestGrowthStageBlueMorningGlory,Flowers_Seeds_PodsEnglishIvy,HeightMetresEnglishIvy,Area_m2EnglishIvy,OldestGrowthStageEnglishIvy,Flowers_Seeds_PodsPeriwinkle,HeightMetresPeriwinkle,Area_m2Periwinkle,Flowers_Seeds_PodsMadeiraVine,HeightMetresMadeiraVine,Area_m2MadeiraVine,OldestGrowthStageMadeiraVine,Flowers_Seeds_PodsHoneysuckle,HeightMetresHoneysuckle,Area_m2Honeysuckle,OldestGrowthStageHoneysuckle,y_xy,x,y
1,13/04/2022 0:33,SQ,174.7178837 -36.80304014,0,,,,,5-Pods or Fruit forming,1.5,2,Adult,5-Pods or Fruit forming,1.8,50,Adult,,,,1-Too soon to tell,2,3,Juvenile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.7178837 -36.80304014,174.7178837,-36.80304014
2,13/04/2022 0:54,SQ,174.7181841 -36.80312706,0,,,,,4-NoSignOfFlowering,1.5,2,Juvenile,1-Too soon to tell,1.2,10,Juvenile,,,,4-NoSignOfFlowering,0.1,1,Seedling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.7181841 -36.80312706,174.7181841,-36.80312706
3,13/04/2022 1:12,SQ,174.719026 -36.80363803,0,,,,,4-NoSignOfFlowering,0.5,0.2,Seedling,,,,,,,,,,,,,,,,,,,,,,,,,,,,4-NoSignOfFlowering,0.1,1,Seedling,,,,,,,,,,,,174.719026 -36.80363803,174.719026,-36.80363803
4,13/04/2022 1:16,S,174.7189304 -36.8034703,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4-NoSignOfFlowering,0.3,1,Seedling,,,,,,,,,,,,174.7189304 -36.8034703,174.7189304,-36.8034703
5,13/04/2022 1:32,SQ,174.7184947 -36.80377999,0,,,,,5-Pods or Fruit forming,2,10,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.7184947 -36.80377999,174.7184947,-36.80377999
6,13/04/2022 1:44,SQ,174.7188298 -36.80347579,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,4-NoSignOfFlowering,0.3,1,Seedling,,,,,4-NoSignOfFlowering,1,1,Juvenile,,,,,,,,,,,,174.7188298 -36.80347579,174.7188298,-36.80347579
7,13/04/2022 22:17,S,174.7202809 -36.80219378,42,,,,,3-Flowers visible,2,1,Adult,4-NoSignOfFlowering,1,1,Juvenile,,,,,,,,,,,,,,,,4-NoSignOfFlowering,4,1,Adult,,,,,4-NoSignOfFlowering,2,5,Adult,,,,,,,,,,,,174.7202809 -36.80219378,174.7202809,-36.80219378
8,13/04/2022 22:58,SQ,174.7204354 -36.80203293,39.88,4-NoSignOfFlowering,0.2,0.5,Seedling,,,,,4-NoSignOfFlowering,0.5,1,Juvenile,,,,4-NoSignOfFlowering,0.2,1,Seedling,,,,,,,,,,,,,,,,,4-NoSignOfFlowering,0.3,1,Adult,,,,,,,,,,,,174.7204354 -36.80203293,174.7204354,-36.80203293
9,13/04/2022 23:22,SQ,174.7206789 -36.80175046,68.36,,,,,4-NoSignOfFlowering,1,2,Juvenile,,,,,,,,4-NoSignOfFlowering,0.5,0.5,Seedling,,,,,,,,,4-NoSignOfFlowering,1,1,Juvenile,,,,,,,,,,,,,,,,,,,,174.7206789 -36.80175046,174.7206789,-36.80175046
10,13/04/2022 23:40,SQ,174.7209419 -36.80201894,10.84,,,,,,,,,4-NoSignOfFlowering,1,1,Seedling,,,,4-NoSignOfFlowering,0.5,1,Seedling,,,,,,,,,,,,,,,,,4-NoSignOfFlowering,2,3,Juvenile,,,,,,,,,,,,174.7209419 -36.80201894,174.7209419,-36.80201894
