Site,x,y
Property1,174.527259,-36.746493
Property2,174.842828,-36.860788
Property3,174.690202,-36.706640
Property4,174.733816,-36.788390
Property5,174.819267,-36.869960
Property6,174.761637,-37.178330
Property7,174.966270,-36.959817
Property8,174.789033,-36.891203
Property9,174.742891,-36.701774
Property10,174.634114,-36.968950
Property11,174.646067,-36.913731
Property12,174.669725,-36.933429
Property13,174.717684,-36.612335
Ambury,174.765277,-36.948500
Sancta,174.903721,-36.961416
Silvana,174.929033,-36.966123
PointEngland,174.872888,-36.880393
Seddon,174.719337,-36.859413
Ngahue,174.844606,-36.882199
