NUM,Pot,Plant,TreatmentGroup,Dateollected,DateOven,DateWeighed,OvenUsed,Mass_g,Notes
737,10,ManukaSapling,18,12/02/2025,14/02/2025,17/02/2025,contherm,60,there is a bag labelled 10 that says privet and is 14 g
738,10,ManukaSeedling ,18,12/02/2025,14/02/2025,17/02/2025,contherm,0.5,
739,10,Wattle,18,5/09/2024,21/05/2024,25/04/2024,Jouan,22,
740,10,Nightshade,18,12/02/2025,14/02/2025,17/02/2025,contherm,2,there is a bag labelled 10 that says WN and is 12 g
945,26,ManukaSapling,15,11/02/2025,13/02/2025,17/02/2025,contherm,25,
946,26,ManukaSeedling,15,5/09/2024,21/05/2024,25/04/2024,Jouan,2.5,
947,26,Privet,15,11/02/2025,13/02/2025,17/02/2025,contherm,30,
948,26,Nightshade,15,11/02/2025,13/02/2025,17/02/2025,contherm,5.5,
717,41,ManukaSapling,14,11/02/2025,13/02/2025,17/02/2025,contherm,11,
718,41,ManukaSeedling,14,11/02/2025,13/02/2025,17/02/2025,contherm,0.5,
719,41,Privet,14,5/09/2024,21/05/2024,25/04/2024,Jouan,2.5,
720,41,Nightshade,14,11/02/2025,13/02/2025,17/02/2025,contherm,14,
285,49,ManukaSapling,17,12/02/2025,14/02/2025,17/02/2025,contherm,30,
286,49,ManukaSeedling,17,12/02/2025,14/02/2025,17/02/2025,contherm,0.1,
287,49,Wattle,17,12/02/2025,14/02/2025,17/02/2025,contherm,56,
288,49,Nightshade,17,5/09/2024,21/05/2024,25/04/2024,Jouan,0.5,
809,55,ManukaSapling,15,11/02/2025,13/02/2025,17/02/2025,contherm,40,
810,55,ManukaSeedling,15,5/09/2024,21/05/2024,25/04/2024,Jouan,2,
811,55,Privet,15,11/02/2025,13/02/2025,17/02/2025,contherm,14,
812,55,Nightshade,15,11/02/2025,13/02/2025,17/02/2025,contherm,11,
521,64,ManukaSapling,21,11/02/2025,13/02/2025,17/02/2025,contherm,17,
522,64,ManukaSeedling,21,11/02/2025,13/02/2025,17/02/2025,contherm,0.1,
523,64,Wattle,21,11/02/2025,13/02/2025,17/02/2025,contherm,8,
524,64,Privet,21,5/09/2024,21/05/2024,25/04/2024,Jouan,2,
165,70,ManukaSapling,18,12/02/2025,14/02/2025,17/02/2025,contherm,1,
166,70,ManukaSeedling,18,12/02/2025,14/02/2025,17/02/2025,contherm,1.25,
167,70,Wattle,18,5/09/2024,21/05/2024,25/04/2024,Jouan,45,
168,70,Nightshade,18,12/02/2025,14/02/2025,17/02/2025,contherm,15,
129,74,ManukaSapling,13,12/02/2025,14/02/2025,17/02/2025,contherm,24,
130,74,ManukaSeedling,13,12/02/2025,14/02/2025,17/02/2025,contherm,1.5,
131,74,Privet,13,12/02/2025,14/02/2025,17/02/2025,contherm,8,
132,74,Nightshade,13,5/09/2024,21/05/2024,25/04/2024,Jouan,2.5,
741,79,ManukaSapling,21,11/02/2025,13/02/2025,17/02/2025,contherm,6,
742,79,ManukaSeedling,21,11/02/2025,13/02/2025,17/02/2025,contherm,0.25,
743,79,Wattle,21,11/02/2025,13/02/2025,17/02/2025,contherm,42,
744,79,Privet,21,5/09/2024,21/05/2024,25/04/2024,Jouan,4.5,
953,90,ManukaSapling,14,11/02/2025,13/02/2025,17/02/2025,contherm,2.5,
954,90,ManukaSeedling,14,11/02/2025,13/02/2025,17/02/2025,contherm,1,
955,90,Privet,14,5/09/2024,21/05/2024,25/04/2024,Jouan,3.5,
956,90,Nightshade,14,11/02/2025,13/02/2025,17/02/2025,contherm,14,
497,95,ManukaSapling,19,11/02/2025,13/02/2025,17/02/2025,contherm,21,
498,95,ManukaSeedling,19,5/09/2024,21/05/2024,25/04/2024,Jouan,1,
499,95,Wattle,19,11/02/2025,13/02/2025,17/02/2025,contherm,5,
500,95,Privet,19,11/02/2025,13/02/2025,17/02/2025,contherm,14,
529,97,ManukaSapling,18,11/02/2025,13/02/2025,17/02/2025,contherm,27,
530,97,ManukaSeedling,18,11/02/2025,13/02/2025,17/02/2025,contherm,2.5,
531,97,Wattle,18,5/09/2024,21/05/2024,25/04/2024,Jouan,19,
532,97,Nightshade,18,11/02/2025,13/02/2025,17/02/2025,contherm,15,
133,110,ManukaSapling,15,,,,,,
134,110,ManukaSeedling,15,5/09/2024,21/05/2024,25/04/2024,Jouan,0.1,
135,110,Privet,15,12/02/2025,14/02/2025,17/02/2025,contherm,49,
136,110,Nightshade,15,12/02/2025,14/02/2025,17/02/2025,contherm,4,
193,113,ManukaSapling,16,,,,,,
194,113,ManukaSeedling,16,5/09/2024,21/05/2024,25/04/2024,Jouan,0.5,
195,113,Wattle,16,12/02/2025,14/02/2025,17/02/2025,contherm,8,
196,113,Nightshade,16,12/02/2025,14/02/2025,17/02/2025,contherm,8,
773,115,ManukaSapling,13,11/02/2025,13/02/2025,17/02/2025,contherm,12,
774,115,ManukaSeedling,13,11/02/2025,13/02/2025,17/02/2025,contherm,2,
775,115,Privet,13,11/02/2025,13/02/2025,17/02/2025,contherm,26,
776,115,Nightshade,13,5/09/2024,21/05/2024,25/04/2024,Jouan,0.5,
29,116,ManukaSapling,21,,,,,,
30,116,ManukaSeedling,21,,,,,,
31,116,Wattle,21,,,,,,
32,116,Privet,21,5/09/2024,21/05/2024,25/04/2024,Jouan,2,
