NUM,Pot ,Plant,TreatmentGroup,Exp1Group,DateCollected,DateOven,DateWeighed,OvenUsed,Mass_g,,,,,,,
1,173,Manuka Sapling,9,2,26/04/2024,17/05/2024,22/05/2024,contherm,8.5,,,,,,,
2,173,Wattle,9,2,26/04/2024,17/05/2024,22/05/2024,contherm,0.5,,,,,,,
3,173,Privet,9,2,26/04/2024,17/05/2024,22/05/2024,contherm,0.5,,,,,,,
4,173,Nightshade,9,2,26/04/2024,17/05/2024,22/05/2024,contherm,14,,,,,,,
5,13,Manuka Sapling,16,4,26/04/2024,17/05/2024,22/05/2024,contherm,7,,,,,,,
6,13,Manuka Seedling,16,4,26/04/2024,17/05/2024,22/05/2024,contherm,0.5,,,,,,,
7,13,Wattle,16,4,26/04/2024,17/05/2024,22/05/2024,contherm,0.25,,,,,,,
8,13,Nightshade,16,4,26/04/2024,17/05/2024,22/05/2024,contherm,12,,,,,,,
9,45,Manuka Sapling,13,3,5/01/2024,21/05/2024,25/04/2024,contherm,4,,,,,,,
10,45,Manuka Seedling,13,3,5/01/2024,21/05/2024,25/04/2024,contherm,0.5,,,,,,,
11,45,Privet,13,3,5/01/2024,21/05/2024,25/04/2024,contherm,0.5,,,,,,,
12,45,Nightshade,13,3,,,,,,,,,,,,
13,117,Manuka Sapling,16,4,26/04/2024,17/05/2024,22/05/2024,contherm,11,,,,,,,
14,117,Manuka Seedling,16,4,26/04/2024,17/05/2024,22/05/2024,contherm,2.5,,,,,,,
15,117,Wattle,16,4,26/04/2024,17/05/2024,22/05/2024,contherm,1,,,,,,,
16,117,Nightshade,16,4,26/04/2024,17/05/2024,22/05/2024,contherm,7.5,,,,,,,
17,59,Manuka Sapling,13,3,5/01/2024,21/05/2024,25/04/2024,contherm,4,,,,,,,
18,59,Manuka Seedling,13,3,5/01/2024,21/05/2024,25/04/2024,contherm,1,,,,,,,
19,59,Privet,13,3,5/01/2024,21/05/2024,25/04/2024,contherm,1,,,,,,,
20,59,Nightshade,13,3,5/01/2024,21/05/2024,25/04/2024,contherm,0.5,,,,,,,
21,89,Manuka Sapling,4,4,,,,,,,,,,,,
22,89,Manuka Seedling,4,4,26/04/2024,17/05/2024,22/05/2024,contherm,0.5,,,,,,,
23,89,Wattle,4,4,26/04/2024,17/05/2024,22/05/2024,contherm,0.1,,,,,,,
