NUM,Pot,TreatmentGroup,Exp1Group,Plant,Date1,Height1,Date2,Height2,Notes2,Date3,Height3,Notes3,Date4,Height4,Notes4,Date5,Height5,Notes5,Date6,Height6,Notes6,Date7,Height7,Notes7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,173,9,2,Manuka Sapling,12/10/2023,88,14/11/2023,84,mostly dead,12/08/2023,85,dead,19/01/2024,83,dead,19/02/2024,84,dead,19/03/2024,83,dead,19/04/2024,83.5,dead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,173,9,2,Wattle,12/10/2023,49.5,14/11/2023,50,,12/08/2023,49.5,,19/01/2024,56.5,,19/02/2024,55,,19/03/2024,56,,19/04/2024,56,dead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,173,9,2,Privet,12/10/2023,9,14/11/2023,8.5,,12/08/2023,9,,19/01/2024,7,,19/02/2024,11.5,,19/03/2024,11,,19/04/2024,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,173,9,2,Nightshade,12/10/2023,64,14/11/2023,67,,12/08/2023,76,,19/01/2024,75.5,,19/02/2024,80,,19/03/2024,95,,19/04/2024,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,13,16,4,Manuka Sapling,12/10/2023,85,14/11/2023,88,,12/08/2023,89.5,,19/01/2024,93,,19/02/2024,94.5,,19/03/2024,89.5,dead,19/04/2024,93,dead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,13,16,4,Manuka Seedling,12/10/2023,41.5,14/11/2023,42,,12/08/2023,43,,19/01/2024,43.5,,19/02/2024,41.5,dead,19/03/2024,31,dead,19/04/2024,41.5,dead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,13,16,4,Wattle,12/10/2023,18.5,14/11/2023,20,,12/08/2023,25,,19/01/2024,34,,19/02/2024,33,,19/03/2024,36,,19/04/2024,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,13,16,4,Nightshade,12/10/2023,37,14/11/2023,46,,12/08/2023,55,,19/01/2024,80,,19/02/2024,81.5,,19/03/2024,85,,19/04/2024,88.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,45,13,3,Manuka Sapling,12/10/2023,67,14/11/2023,66,,12/08/2023,67.5,,19/01/2024,64,dead,19/02/2024,63,dead,19/03/2024,64,dead,19/04/2024,63,dead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,45,13,3,Manuka Seedling,11/09/2023,44,14/11/2023,43,,12/08/2023,41,,19/01/2024,41,dead,19/02/2024,40,dead,19/03/2024,40,dead,19/04/2024,46,dead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,45,13,3,Privet,12/10/2023,14,14/11/2023,14.5,,12/08/2023,16,,19/01/2024,19.5,,19/02/2024,19.5,,19/03/2024,20,,19/04/2024,19.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,45,13,3,Nightshade,12/10/2023,27.5,14/11/2023,34,,12/08/2023,38,,19/01/2024,63,,19/02/2024,81,,19/03/2024,81,,19/04/2024,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,117,16,4,Manuka Sapling,12/10/2023,110,14/11/2023,116.5,,12/08/2023,117.5,lost a branch,19/01/2024,119,dead,19/02/2024,103,dead,19/03/2024,104,dead,19/04/2024,102,dead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,117,16,4,Manuka Seedling,12/10/2023,45.5,14/11/2023,47,,12/08/2023,42.5,,19/01/2024,39.5,,19/02/2024,40,dead,19/03/2024,40,dead,19/04/2024,38.5,dead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,117,16,4,Wattle,12/10/2023,40,14/11/2023,42,dead,12/08/2023,37,dead,19/01/2024,36,,19/02/2024,35,dead,19/03/2024,35,dead,19/04/2024,32,dead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,117,16,4,Nightshade,12/10/2023,38,14/11/2023,38,,12/08/2023,35,,19/01/2024,35.5,,19/02/2024,40,,19/03/2024,39,,19/04/2024,43.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,59,13,3,Manuka Sapling,12/10/2023,88,14/11/2023,93.5,,12/08/2023,105,,19/01/2024,109,,19/02/2024,107.5,dead,19/03/2024,105.5,dead,19/04/2024,105,dead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,59,13,3,Manuka Seedling,12/10/2023,49,14/11/2023,40,,12/08/2023,44,,19/01/2024,46,,19/02/2024,40,dead,19/03/2024,44,dead,19/04/2024,47,dead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,59,13,3,Privet,12/10/2023,20,14/11/2023,21.5,,12/08/2023,29,,19/01/2024,34,,19/02/2024,19,,19/03/2024,45.5,,19/04/2024,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,59,13,3,Nightshade,12/10/2023,20,14/11/2023,26.5,,12/08/2023,23.5,,19/01/2024,24.5,,19/02/2024,76,,19/03/2024,24.5,,19/04/2024,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,89,4,4,Manuka Sapling,12/10/2023,91,14/11/2023,94,,12/08/2023,93,,19/01/2024,107,,19/02/2024,114,,19/03/2024,118,,19/04/2024,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,89,4,4,Manuka Seedling,12/10/2023,33,14/11/2023,35,,12/08/2023,32,,19/01/2024,31.5,dead,19/02/2024,31.5,dead,19/03/2024,29.5,dead,19/04/2024,32,dead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,89,4,4,Wattle,12/10/2023,16.5,14/11/2023,14.5,,12/08/2023,14.5,mostly dead,19/01/2024,14.5,dead,19/02/2024,12,dead,19/03/2024,10,dead,19/04/2024,13,dead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,89,4,4,Nightshade,12/10/2023,4,14/11/2023,8,,12/08/2023,15,,19/01/2024,30,,19/02/2024,30,,19/03/2024,30,,19/04/2024,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,205,3,3,Manuka Sapling,12/10/2023,120.5,14/11/2023,123.5,,12/08/2023,124.5,,19/01/2024,126.5,,19/02/2024,127,,19/03/2024,125.5,,19/04/2024,126.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,205,3,3,Manuka Seedling,12/10/2023,34,14/11/2023,45.5,,12/08/2023,35,,19/01/2024,45.5,,19/02/2024,46,,19/03/2024,38,dead,19/04/2024,38.5,dead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
