Pot Number,Treatment Group,Sample Number,Room
1,3,13,547
2,1,1,547
3,5,20,547
4,4,18,546
5,4,4,544
6,1,1,544
7,8,8,547
8,5,20,547
9,4,17,546
10,4,16,547
11,5,21,544
12,2,12,547
13,4,16,544
14,6,6,546
15,5,5,544
16,2,9,547
17,7,,547
18,4,17,546
19,3,15,547
20,1,1,546
21,2,2,546
22,1,1,544
23,2,9,547
24,2,2,544
25,3,15,544
26,3,3,547
27,3,3,544
28,3,14,546
29,4,17,544
30,5,20,547
31,6,6,544
32,5,19,547
33,3,15,546
34,3,3,544
35,1,1,547
36,3,3,544
38,2,9,546
37,7,,546
39,6,6,547
40,1,1,546
41,3,13,547
42,3,13,547
43,5,5,547
44,4,4,546
45,3,13,544
46,2,11,547
47,3,15,544
48,4,18,544
49,4,17,544
50,8,8,544
51,4,16,544
52,4,18,546
53,5,21,547
54,8,8,546
55,3,13,547
56,5,21,544
57,4,16,547
58,3,3,546
59,3,13,544
60,2,11,546
61,5,5,547
62,5,2,544
63,3,3,547
64,5,5,546
65,6,6,547
66,6,6,544
67,2,11,547
68,5,21,547
69,5,21,547
70,4,4,544
71,5,21,547
72,5,19,544
73,,,544
74,3,15,544
75,4,4,546
76,4,4,546
77,2,12,546
78,3,14,547
79,5,19,547
80,2,10,546
81,4,17,547
82,4,17,547
83,,,547
84,1,1,546
85,3,14,544
86,3,15,546
87,5,20,544
88,4,16,547
89,4,4,544
90,3,13,547
91,8,8,547
92,5,5,546
93,,,544
94,5,20,547
95,5,20,546
96,4,18,544
97,4,16,546
98,8,8,544
99,5,5,544
100,2,11,546
101,2,12,544
102,,,544
103,2,12,544
104,1,1,547
105,4,17,547
106,2,2,547
107,,,546
108,6,6,544
109,5,5,544
110,3,13,544
111,1,1,547
112,5,19,547
113,4,16,544
114,4,4,546
115,3,3,547
116,5,5,544
117,4,16,544
118,2,10,547
119,5,20,547
120,2,2,544
121,3,14,546
122,4,4,544
123,5,19,547
124,2,11,544
125,4,16,546
126,3,14,547
127,2,10,547
128,4,18,547
129,2,2,546
130,2,12,544
131,2,11,546
132,2,11,547
133,3,14,547
134,5,19,546
135,2,11,544
136,3,15,546
137,3,13,544
138,1,1,547
139,3,14,547
140,6,6,546
141,2,9,546
142,2,2,546
143,8,8,547
144,4,17,544
145,5,21,546
146,5,21,544
147,2,9,546
148,4,18,547
149,8,8,547
150,6,6,546
151,3,14,546
152,8,8,546
153,5,21,546
154,2,12,544
155,2,12,547
156,2,10,546
157,2,2,544
158,5,21,546
159,2,2,546
160,4,18,547
161,2,10,546
162,4,16,544
163,4,16,547
164,2,12,546
165,8,8,547
166,2,12,547
167,4,4,546
168,3,15,547
169,,,544
170,6,6,547
171,2,11,546
172,5,5,546
173,2,9,544
174,2,9,544
175,5,19,544
176,2,10,544
177,2,2,546
178,3,3,546
179,4,17,547
180,,,544
181,2,9,544
182,5,19,544
183,2,10,547
184,6,6,544
185,2,11,547
186,3,13,544
187,3,13,546
188,4,4,546
189,2,10,546
190,4,17,546
191,6,6,546
192,,,546
193,2,10,544
194,5,20,544
195,3,14,546
196,3,13,546
197,5,20,546
198,2,11,546
199,5,5,547
200,5,5,546
201,4,4,544
202,,,546
203,,,544
204,4,17,547
205,3,3,544
206,,,546
207,3,14,547
208,4,17,546
209,,,544
210,3,15,547
211,5,19,547
212,2,9,544
213,1,1,546
214,3,14,546
215,3,14,547
216,3,3,544
217,2,9,546
218,5,19,544
219,4,16,546
220,5,21,547
221,2,2,544
222,8,8,546
223,5,19,544
224,2,10,544
225,,,544
226,6,6,547
227,2,9,544
228,1,1,546
229,2,2,546
230,5,20,544
231,4,18,547
232,4,18,546
233,3,3,547
234,4,4,546
235,8,8,544
236,3,15,546
237,3,15,544
238,5,5,546
239,2,12,544
240,2,10,547
241,2,2,546
242,2,12,546
243,8,8,544
244,4,18,547
245,4,18,547
246,3,15,546
247,2,9,544
248,2,10,547
249,5,19,546
250,5,21,546
251,4,18,546
252,2,12,546
253,5,20,547
254,3,3,547
255,2,11,544
