NUM,Date,Site,Plot,W_N,CentralSpecies,CommonName,ScientificName,SpeciesCode,GrowthHabit,WeedList,Tier_1,Tier_2,Tier_3,Tier_4,Epiphyte,PercentCover,Status,Presence,Notes
148,8/02/2023,Yates,2,N,Native,Acanthus,Acanthus mollis,ACAmol,Forb,1,3,3,1,0,0,N/A,1,1,
282,15/03/2023,Eirian,1,N,Native,Acanthus,Acanthus mollis,ACAmol,Forb,1,1,1,1,0,0,N/A,1,1,
298,15/03/2023,Eirian,2,N,Native,Acanthus,Acanthus mollis,ACAmol,Forb,1,10,6,0,0,0,N/A,1,1,
128,8/02/2023,Yates,1,N,Native,Monkey Apple,Acmena smithii,ACMsmi,Tree,0,2,0,0,0,0,N/A,1,1,
395,20/03/2023,Winter,1,N,Native,Monkey Apple,Acmena smithii,ACMsmi,Tree,0,26,1,0,0,0,N/A,1,1,
408,20/03/2023,Winter,2,W,Solanum mauritianum,Monkey Apple,Acmena smithii,ACMsmi,Tree,0,15,9,0,0,0,N/A,1,1,
415,20/03/2023,Winter,2,N,Native,Monkey Apple,Acmena smithii,ACMsmi,Tree,0,15,6,3,0,0,N/A,1,1,
433,20/03/2023,Winter,3,N,Native,Monkey Apple,Acmena smithii,ACMsmi,Tree,0,13,6,2,0,0,N/A,1,1,
444,20/03/2023,Winter,4,W,Solanum mauritianum,Monkey Apple,Acmena smithii,ACMsmi,Tree,0,4,2,0,0,0,N/A,1,1,
451,20/03/2023,Winter,4,N,Native,Monkey Apple,Acmena smithii,ACMsmi,Tree,0,5,5,1,0,0,N/A,1,1,
119,8/02/2023,Yates,1,W,Ligustrum lucidum,Rough Maiden Hair Fern,Adiantum hispidulum,ADIhis,Fern,0,1,1,0,0,0,N/A,0,1,
170,8/02/2023,Yates,3,N,Native,Rough Maiden Hair Fern,Adiantum hispidulum,ADIhis,Fern,0,2,2,0,0,0,N/A,0,1,
84,7/02/2023,Bacon,2,N,Native,Agapanthus,Agapanthus orientalis,AGAori,Forb,1,1,1,1,0,0,N/A,1,1,
117,8/02/2023,Yates,1,W,Ligustrum lucidum,Agapanthus,Agapanthus orientalis,AGAori,Forb,1,2,2,1,0,0,N/A,1,1,
123,8/02/2023,Yates,1,N,Native,Agapanthus,Agapanthus orientalis,AGAori,Forb,1,10,10,9,0,0,N/A,1,1,
156,8/02/2023,Yates,3,W,Ligustrum lucidum,Agapanthus,Agapanthus orientalis,AGAori,Forb,1,4,3,1,0,0,N/A,1,1,
216,10/02/2023,Todd,5,N,Native,Agapanthus,Agapanthus orientalis,AGAori,Forb,1,1,1,0,0,0,N/A,1,1,
268,13/03/2023,Spence,1,N,Native,Agapanthus,Agapanthus orientalis,AGAori,Forb,1,7,5,5,0,0,N/A,1,1,
397,20/03/2023,Winter,1,N,Native,Agapanthus,Agapanthus orientalis,AGAori,Forb,1,6,5,0,0,0,N/A,1,1,
671,14/04/2023,Cain,2,N,Native,Agapanthus,Agapanthus orientalis,AGAori,Forb,1,1,1,1,0,0,N/A,1,1,
680,19/04/2023,Burns,1,W,Ligustrum lucidum,Agapanthus,Agapanthus orientalis,AGAori,Forb,1,2,2,1,0,0,N/A,1,1,
689,19/04/2023,Burns,1,N,Native,Agapanthus,Agapanthus orientalis,AGAori,Forb,1,8,7,2,0,0,N/A,1,1,
703,19/04/2023,Burns,2,N,Native,Agapanthus,Agapanthus orientalis,AGAori,Forb,1,13,10,4,0,0,N/A,1,1,
488,21/03/2023,Nataly,2,W,Paraserianthes lophantha,Mist Flower,Ageratina riparia,AGErip,Forb,1,2,2,0,0,0,N/A,1,1,
266,13/03/2023,Spence,1,W,Ligustrum lucidum,Titoki,Alectryon excelsus,ALEexe,Tree,0,6,1,0,0,0,N/A,0,1,
270,13/03/2023,Spence,1,N,Native,Titoki,Alectryon excelsus,ALEexe,Tree,0,5,0,0,0,0,N/A,0,1,
621,29/03/2023,Sancta,11,N,Native,Titoki,Alectryon excelsus,ALEexe,Tree,0,1,0,0,0,0,N/A,0,1,
638,14/04/2023,Cain,1,W,Ligustrum lucidum,Titoki,Alectryon excelsus,ALEexe,Tree,0,1,1,0,0,0,N/A,0,1,
645,14/04/2023,Cain,1,N,Native,Titoki,Alectryon excelsus,ALEexe,Tree,0,6,0,0,0,0,N/A,0,1,
654,14/04/2023,Cain,2,W,Ligustrum lucidum,Titoki,Alectryon excelsus,ALEexe,Tree,0,11,1,0,0,0,N/A,0,1,
663,14/04/2023,Cain,2,N,Native,Titoki,Alectryon excelsus,ALEexe,Tree,0,5,2,0,0,0,N/A,0,1,
737,28/04/2023,Salford,1,N,Native,Titoki,Alectryon excelsus,ALEexe,Tree,0,1,0,0,0,0,N/A,0,1,
750,28/04/2023,Salford,3,W,Ligustrum lucidum,Titoki,Alectryon excelsus,ALEexe,Tree,0,1,0,0,0,0,N/A,0,1,
776,28/04/2023,Salford,4,W,Ligustrum lucidum,Titoki,Alectryon excelsus,ALEexe,Tree,0,4,0,0,0,0,N/A,0,1,
807,2/05/2023,Salford,5,N,Native,Titoki,Alectryon excelsus,ALEexe,Tree,0,2,1,0,0,0,N/A,0,1,
1063,14/02/2024,Netball,7,W,Paraserianthes lophantha,Titoki,Alectryon excelsus,ALEexe,Tree,0,1,1,0,0,0,N/A,0,1,
1086,3/01/2024,Netball,10,W,Paraserianthes lophantha,Titoki,Alectryon excelsus,ALEexe,Tree,0,7,5,0,0,0,N/A,0,1,
