id,site_name,island,flow,clarity,ammoniacal_N,oxidised_N,total_N,DRP,total_P,class
NAT-AK01,Hoteo,1,4.3,0.8,20.5,495.8,682.7,19.7,61.4,WW
NAT-AK02,Rangitopuni,1,2.1,0.4,25.3,372,752.6,24.4,74.2,WW
NAT-GS01,Waipaoa,1,19.9,0.2,5.8,106.1,199.6,2.6,194.3,WW
NAT-HM03,Waikato,1,320,0.8,13.8,201.2,353.9,15.5,38.1,CW
NAT-HV01,Waipawa,1,12.2,1.5,4.2,79,94,5.2,23.8,WW
NAT-HV06,Mohaka,1,40.9,1.7,4.6,144.7,190.9,7,16.5,CW
NAT-RO03,Rangitaiki,1,26.4,1.5,5.9,643.3,656.5,20.8,31.8,CW
NAT-WA08,Manawatu,1,112.2,0.5,13.9,713.8,731.3,10.7,51.4,CW
NAT-WA09,West Manawatu,1,117.8,0.5,58.1,745.9,957.5,44,121.9,CW
NAT-WH01,Waipapa,1,2.5,1.9,,27.9,81.6,4.7,10.4,CW
NAT-WN03,Ruamahanga,1,152.5,0.7,16.2,570.7,735,15.9,65.5,CW
NAT-WN04,Ruamahanga North,1,63.7,0.7,20,677.5,870.8,11.1,42.1,CW
NAT-AX01,Wanaka,2,305.1,3.7,4.5,38.1,62.8,0.4,3.1,WW
NAT-AX02,Kawarau,2,244.6,1.1,8.2,25.5,60,0.8,20.4,WW
NAT-DN05,Mataura,2,87.5,0.6,44.2,987.8,1141.2,18.1,45,CD
NAT-DN07,Oreti North,2,40.7,2.4,5,328.9,391.1,2.6,11.1,CW
NAT-DN08,Oreti,2,40,0.8,9.8,775.7,712.7,5.1,16.8,CD
NAT-DN10,Monowai,2,15.7,5.7,5.1,11.3,68.8,0.7,3,CD
NAT-GY02,Mawheranui,2,278.3,1.7,6.4,72.5,131.6,2.6,8.9,CW
NAT-NN02,Motueka,2,5.9,3.8,2.5,18.9,25.6,2.7,5,CW
NAT-TK01,Opihi,2,29.2,2.1,8,541.2,529.9,4.7,16.1,CD
NAT-TK02,West Opihi,2,9.3,1.9,7.8,724,760,5.6,19.2,CD
NAT-TK04,Waitaki,2,622.7,0.7,4.5,12.7,56.6,1.1,8.9,CW
NAT-TK05,Hakataramea,2,9.4,3.4,7.8,59.8,170.9,4.7,9.2,CD
